표준단어명,표준단어 설명
좌표계,좌표의 종류， 원점， 좌표축 따위를 통틀어 이르는 말
전도식,열 또는 전기가 물체 속을 이동하는 일. 또는 그런 현상의 식
전기전도도,도체에 흐르는 전류의 크기를 나타내는 상수. 전기 저항률의 역수
CE컬럼,(테이블·엑셀 등) CE컬럼
셀,기억 장치로서의 기능을 갖는 위치를 나타내는 단위. 비트， 바이트 또는 워드 등 같은 정보의 한 단위에 대한 기억 장소
인증,문서·행위가 정당한 절차로 이루어졌다는 것을 공적 기관이 인정하여 증명함
인증서,문서나 행위가 정당한 절차로 이루어졌음을 인정하여 증명하는 증서
인증서DN,공인 인증서 식별 정보(DN: Distinguished Name)
CF4,사불화탄소， 온실가스의 하나로， 자연적으로 생성되거나 알류미늄 생산 시 주로 발생하는 기체
총대장균군,장내 세균의 한 그룹으로 그람 음성， 통성 혐기성이고 포자를 형성하지 않으며 35˚C에서 48시간 배양했을 경우 유당을 분해하여 가스를 발생시키는 간균
CF컬럼,(테이블·엑셀 등) CF컬럼
침엽수림,침엽수로 이루어진 수림
확인서,確定者 어떤 사실을 확인하는 뜻으로 쓴 글이나 서류
확정,確定. 일을 확실하게 정함
자금,1. 사업을 경영하는 데에 쓰는 돈
,
,
CG컬럼,(테이블·엑셀 등) CG컬럼
문자,인간의 언어를 적는 데 사용되는 시각적인 기호 체계
선택,여럿 가운데서 필요한 것을 골라 뽑음
점검,點檢. 낱낱이 검사함. 또는 그런 검사
닭,꿩과의 새. 머리에 붉은 볏이 있고 날개는 퇴화하여 잘 날지 못하며 다리는 튼튼하다. 육용과 난용으로 육종된 수많은 품종이 있으며， 가금으로 가장 많이 사육한다. 원종은 인도， 말레이시아 등지의 들꿩이다
CH컬럼,(테이블·엑셀 등) CH컬럼
선정자,여럿 가운데서 어떤 것을 뽑아 정하는 사람
변경,다르게 바꾸어 새롭게 고침
연혁,변천하여 온 과정
중국,아시아 동부에 있는 나라
경위,經緯 일이 진행되어 온 과정
자식,아들과 딸을 아울러 이르는 말
클로로포름,메탄의 수소 세 개가 염소 세 개로 바뀐 화합물. 무색의 휘발성 액체로， 화합물의 용제， 마취제 따위로 쓰인다. 화학식은 CHCI3
집수구역,일정한 강이나 바다， 호수를 기준으로 그곳으로 물이 모여드는 구역
약품,여러 가지 약재를 섞어 조제한 것
굴뚝,불을 땔 때에， 연기가 밖으로 빠져나가도록 만든 구조물. 주로 철판， 토관， 벽돌 따위로 만든다
변경자,變更者. 다르게 바꾸어 새롭게 고친 사람
중문,중국 글자로 쓴 글
교목,줄기가 곧고 굵으며 높이가 8미터를 넘는 나무
요금,남의 힘을 빌리거나 사물을 사용·소비·관람한 대가로 치르는 돈
크롬,주기율표의 제 6족 원소의 하나. 은백색의 광택이 나는 금속 원소로 염산과 황산에는 녹으나 공기 가운데에서 녹이 슬지 않고 약품에 잘 견디며 도금이나 합금 재료로 널리 쓰인다
위원장,委員長 특정한 목적 아래 위원으로써 구성된 합의체의 대표
충전소,자동차나 용기 따위에 연료가 되는 가스， 휘발유， 경유， 전기 등을 채워 넣어 주는 곳
차트,1. 지도， 해도 따위의 도면
,
특징,다른 것에 비하여 특별히 눈에 띄는 점
화학,자연과학의 한 분야. 물질의 조성과 구조， 성질 및 변화， 제법， 응용 따위를 연구한다
CI컬럼,(테이블·엑셀 등) CI컬럼
대비증가비중,두 가지의 차이를 밝히기 위하여 서로 맞대어 비교하여 양이나 수치가 늘어나는 비율
CJ컬럼,(테이블·엑셀 등) CJ컬럼
CK컬럼,(테이블·엑셀 등) CK컬럼
정비,정돈(整頓)하여 갖춤
구분별,일정한 기준에 따라 전체를 몇 개로 갈라 나눈 조각마다
강,생물 분류 단계 중 하나로 문(門)의 아래이고 목(目)의 위이다. 개를 분류하는 데 있어 포유강은 척삭동물문보다 아래이며 식육목의 위가 된다
대장균,포유류의 장 속에서 포도당을 분해하여 산을 생산하는 막대기 모양의 세균
검정곡선,어떤 물질의 농도와 그 물질이 나타내는 물리적 또는 화학적 성질과의 관계를 나타낸 관계 곡선
클릭,마우스의 단추를 누르는 행위
정산,精算. 정밀하게 계산함. 또는 그런 계산
CL컬럼,(테이블·엑셀 등) CL컬럼
수집,蒐集. 취미나 연구를 위하여 여러 가지 물건이나 재료를 찾아 모음. 또는 그 물건이나 재료
클라우드,Cloud 인터넷 기반에서 정보자원을 분산하여 관리하는 컴퓨팅 기술
운량,구름이 하늘을 덮고 있는 정도. 구름이 온 하늘을 덮었을 때를 10， 구름이 전혀 없을 때를 0으로 하여 정수로 표시하며 그것은 눈으로 관측하여 정한다
달력,1년 가운데 달， 날， 요일， 이십사절기， 행사일 따위의 사항을 날짜에 따라 적어 놓은 것
운형,구름의 모양. 또는 구름처럼 생긴 모양
냉기저장,냉기를 저장함. ≒축냉
청정,맑고 깨끗함
대장균군,장에서 정상균 무리로 존재하는 세균. 막대모양의 그람 유성균으로 요로 감염， 위장관염， 뇌 수막염， 균혈증을 유발한다
채집,널리 찾아 얻거나 캐거나 잡아 모으는 일
청구시,청구할 당시
임상증상,어떤 감염원에 노출되었거나 질병에 걸렸을 때 환자 몸에 나타나는 증상
기후,氣候
,
군락,같은 지역에 모여 생활하는 많은 부락
청정연료,생활 환경에 나쁜 영향을 미치는 유해 물질이 적제 나오는 연료
클라이언트,네트워크를 통하여 서버라는 다른 컴퓨터 시스템 상의 원격 서비스에 접속할 수 있는 응용 프로그램이나 서비스
엽록소,빛 에너지를 유기 화합물 합성을 통하여 화학 에너지로 전환시키는 녹색 색소
엽록소A,빛을 흡수하는 식물의 색소 가운데에서 식물성 플랑크톤에 가장 많이 분포하는 엽록소
구름,대기 중의 작은 물방울이나 얼음 알갱이가 모여 하늘에 떠 있는 자연현상. 이 입자들 중에는 물이나 얼음 입자 이외에 매연이나 먼지와 같은 고체 입자들도 포함되어 있으며， 이때 구름이 지면과 접하여 있을 때는 안개라고 칭함
접수자,接受者. 신청이나 신고 따위를 구두나 문서로 받은 사람
종목,種目. 여러 가지 종류에 따라 나눈 항목
폐업,廢業. 직업이나 영업을 그만둠
닫기,1. 윈도우 창， 파일 등의 닫기
,
,
분류,分類. 종류에 따라서 가름
폐쇄,閉鎖. 문 따위를 닫아걸거나 막아 버림. 기관이나 시설을 없애거나 기능을 정지함
재배지,[栽培地]농작물을 심어 가꾸는 땅
채집지,어떤 것을 채집한 장소
채집자,어떤 것을 채집한 사람
문화,자연 상태에서 벗어나 일정한 목적 또는 생활 이상을 실현하고자 사회 구성원에 의하여 습득， 공유， 전달되는 행동 양식이나 생활 양식의 과정 및 그 과정에서 이룩하여 낸 물질적·정신적 소득을 통틀어 이르는 말
품종,생물 분류 단계에서는 종(種)의 하위 단위로 쓰여， 아종， 변종 또는 식물에서 유전적 개량을 통하여 생긴 새로운 개체군을 뜻한다
경작,땅을 갈아서 농사를 지음
굴뚝자동측정,연기가 밖으로 빠져나가도록 만든 구조물을 자동적으로 일정한 양을 기준으로 하여 같은 종류의 다른 양의 크기를 잼
위원,선거나 임명에 의하여 지명되어 단체의 특정 사항을 처리할 것을 위임받은 사람
통근버스,통근하는 사람들을 위하여 운행하는 버스
상업,상품을 사고파는 행위를 통하여 이익을 얻는 일
준공,竣工. 공사를 다 마침
CM컬럼,(테이블·엑셀 등) CM컬럼
상용,1. 상업(商業) 상의 볼일
,
명령,1. 命令 어떤 동작이나 기능의 개시， 종료 또는 제어를 위해서 이용자가 컴퓨터 프로그램에 대하여 부여하는 지시어
,
명령어,컴퓨터 등에 연산이나 일정한 동작을 명령하는 기계어
개시,행동이나 일 따위를 시작함
통신,우편·전신·전화·개인용 컴퓨터 등으로 의사나 정보를 전함
댓글,한 게시물 바로 밑에 즉시 남길 수 있는 짧은 글
커뮤니티,1. 정치·문화·역사를 함께하는 사회
,
,
공용,함께 씀. 또는 그런 물건
주무관청,어떤 사무를 주장하여 맡아보는 행정 관청
수료자,修了者 일정 학습 과정을 마치거나 끝낸 사람
단지,주택， 공장， 작물 재배지 따위가 집단을 이루고 있는 일정한 구역
준수,전례나 규칙， 명령따위를 그대로 좇아서 지킴
보상,합법적인 피해에 대한 추가적인 가치를 감안하여 변상하는 것
유상,有償 값이나 삯을 받는 일
비교,둘 이상의 사물을 견주어 서로간의 유사점， 차이점， 일반 법칙 따위를 고찰하는 일
압축,물질 따위에 압력을 가하여 그 부피를 줄임
구성,몇 가지 부분이나 요소들을 모아서 일정한 전체를 짜 이룸 또는 그 결과
완료,完了. 완전히 끝마침
관할,管轄. 일정한 권한을 가지고 통제하거나 지배함. 또는 그런 지배가 미치는 범위
산정용,算定， 셈하여 정함
복잡성,갈피를 잡기 어려울 만큼 여러 가지가 얽혀 있거나 어수선한 성질
기념,어떤 뜻깊은 일이나 훌륭한 인물 등을 오래도록 잊지 아니하고 마음에 간직함
돼지풀,국화과의 한해살이 풀. 줄기는 높이가 1미터 이상이고 온몸에 짧은 강모가 있다. 잎은 마주나거나 어긋나고 깃 모양이다
적중,1. 화살 따위가 목표물에 맞음
,
위원회,委員會 기관이나 단체 등에서， 특정한 사항을 처리하기 위하여 특별한 자격을 갖춘 사람들로 구성된 합의제 기관
내용,內容. 말， 글， 그림， 연출 따위의 모든 표현 매체 속에 들어 있는 것. 또는 그런 것들로 전하고자 하는 것
한자,漢字 중국어를 표기하는 중국 고유의 문자. 표의적(表意的) 음절 문자로 우리나라， 일본 등지에서도 널리 쓰이고 있음
체결,1. 얽어서 맺음
,
취소자,유효하게 성립한 법률 행위의 효력이 소멸된 사람
결론,말이나 글의 끝을 맺는 부분. 최종적으로 판단을 내림 또는 그 판단
결론자,결론을 내리는 사람
해지,解止. 계약 당사자 한쪽의 의사 표시에 의하여 계약에 기초한 법률관계를 말소하는 것
CN컬럼,(테이블·엑셀 등) CN컬럼
우려,근심하거나 걱정함. 또는 그 근심과 걱정
콘크리트,시멘트에 모래와 자갈， 골재 따위를 적당히 섞고 물에 반죽한 혼합물
농도,용액따위의 진함과 묽음의 정도
존속,어떤 대상이 그대로 있거나 어떤 현상이 계속됨
통제소,일정한 규칙이나 방침에 따라 어떤 행위나 사물을 조절하거나 통제하는 곳
상수,물질의 물리적·화학적 성질을 표시하는 수치. 일정한 상태에 있는 물질의 성질에 관하여 일정량을 보이는 수
위탁,어떤 일이나 사물의 처리를 남에게 부탁하여 맡김
컨설팅,전문 지식을 가진 사람이 상담·자문에 응하는 일
협의,協議. 둘 이상의 사람이 서로 협력하여 의논함
소비,돈이나 물자， 시간， 노력 따위를 들이거나 써서 없앰
소비자,消費者 재화(財貨)를 소비하는 사람
,
,
,
,
합의,서로 의견이 일치함. 또는 그 의견
소모,써서 없앰
상수A,물질의 물리적·화학적 성질을 표시하는 수치의 A
상수B,물질의 물리적·화학적 성질을 표시하는 수치의 B
상수C,물질의 물리적·화학적 성질을 표시하는 수치의 C
상수D,물질의 물리적·화학적 성질을 표시하는 수치의 D
상수E,물질의 물리적·화학적 성질을 표시하는 수치의 E
개수,한 개씩 낱으로 셀 수 있는 물건의 수효
공헌,힘을 써 이바지함
접촉,서로 맞닿음
연속,끊이지 아니하고 죽 이어지거나 지속함
접속,1. 서로 맞대어 이음
,
,
대륙,[大陸]넓은 면적을 가지고 해양의 영향이 내륙부에까지 직접적으로 미치지 않는 육지. 일반적으로 유라시아， 아프리카， 북아메리카， 남아메리카， 오스트레일리아， 남극의 여섯 대륙을 일컬음
센터,1. 중앙의 위치
,
제어,1. 상대편을 억눌러서 제 마음대로 다룸
,
,
컨트롤러,사용자가 필요에 따라 컴퓨터 명령어의 실행과 그들의 실행 순서를 변경할 수 있도록 구성한 중앙 처리기 내의 제어 장치
공모전,널리 공개하여 모집한 작품의 전람회나 전시회
환산,어떤 단위나 척도로 된 것을 다른 단위나 척도로 고쳐서 헤아림
육식성,물고기·새·짐승 등의 고기를 먹는 성질. 더욱 넓은 뜻으로는 곤충 등을 포함하여 동물질의 고기를 먹는 성질을 뜻하기도 함
대화,對話 마주 대하여 이야기를 주고받음. 또는 그 이야기
회사분,회사(상행위 또는 그 밖의 영리 행위를 목적으로 하는 사단 법인)의 분량
CO2EQ,온실가스 배출량을 대표 온실가스인 이산화탄소로 환산한 양으로 각각의 온실가스 배출량에 온실가스별 온난화지수(GWP)를 곱한 값을 누계하여 구한다
CO컬럼,(테이블·엑셀 등) CO컬럼
화학적산소요구량,수질을 평가하는 주요 지표로 사용되며， 유기오염물질을 화학적으로 분해할 때 요구되는 산소의 양
